t,mean,max
40850,0.543175,1
40900,0.544147,1
40950,0.538759,1
41000,0.531773,1
41050,0.541284,1
41100,0.545168,1
41150,0.542216,1
41200,0.53829,1
41250,0.538876,1
41300,0.54241,1
41350,0.541076,1
41400,0.532904,1
41450,0.532029,1
41500,0.535848,1
41550,0.532925,1
41600,0.524794,1
41650,0.526448,1
41700,0.531524,1
41750,0.534236,1
41800,0.531101,1
41850,0.539062,1
41900,0.55239,1
41950,0.556778,1
42000,0.551686,1
42050,0.554185,1
42100,0.557103,1
42150,0.552273,1
42200,0.553264,1
42250,0.550775,1
42300,0.554328,1
42350,0.554538,1
42400,0.541249,1
42450,0.537391,1
42500,0.538085,1
42550,0.540566,1
42600,0.536458,1
42650,0.541132,1
42700,0.546771,1
42750,0.545759,1
42800,0.534051,1
42850,0.531864,1
42900,0.538327,1
42950,0.538033,1
43000,0.527503,1
43050,0.530137,1
43100,0.53252,1
43150,0.538818,1
43200,0.533212,1
43250,0.526949,1
43300,0.528022,1
43350,0.530888,1
43400,0.533322,1
43450,0.533567,1
43500,0.542539,1
43550,0.550229,1
43600,0.550512,1
43650,0.541208,1
43700,0.542262,1
43750,0.542654,1
43800,0.542322,1
43850,0.53399,1
43900,0.535872,1
43950,0.548777,1
44000,0.549328,1
44050,0.541631,1
44100,0.542565,1
44150,0.556497,1
44200,0.558615,1
44250,0.552216,1
44300,0.557899,1
44350,0.558262,1
44400,0.556161,1
44450,0.548538,1
44500,0.547931,1
44550,0.554686,1
44600,0.554791,1
44650,0.547446,1
44700,0.544459,1
44750,0.548512,1
44800,0.547896,1
44850,0.544432,1
44900,0.538273,1
44950,0.546082,1
45000,0.549138,1
45050,0.545205,1
45100,0.541022,1
45150,0.539537,1
45200,0.547732,1
45250,0.545547,1
45300,0.542498,1
45350,0.543615,1
45400,0.545176,1
45450,0.539948,1
45500,0.540826,1
45550,0.542951,1
45600,0.536089,1
45650,0.53574,1
45700,0.54782,1
45750,0.546413,1
45800,0.546952,1
45850,0.553133,1
45900,0.552879,1
45950,0.554336,1
46000,0.564324,1
46050,0.5601,1
46100,0.553,1
46150,0.552975,1
46200,0.553055,1
46250,0.555054,1
46300,0.556702,1
46350,0.555739,1
46400,0.548862,1
46450,0.545216,1
46500,0.548325,1
46550,0.546778,1
46600,0.547967,1
46650,0.553722,1
46700,0.552536,1
46750,0.549159,1
46800,0.550003,1
46850,0.553869,1
46900,0.551467,1
46950,0.561852,1
47000,0.566441,1
47050,0.560333,1
47100,0.554516,1
47150,0.555877,1
47200,0.552433,1
47250,0.548288,1
47300,0.549966,1
47350,0.547025,1
47400,0.542308,1
47450,0.537638,1
47500,0.541412,1
47550,0.54318,1
47600,0.55288,1
47650,0.555159,1
47700,0.552616,1
47750,0.549133,1
47800,0.54498,1
47850,0.544375,1
47900,0.53794,1
47950,0.530247,1
48000,0.532809,1
48050,0.528182,1
48100,0.523197,1
48150,0.527461,1
48200,0.532353,1
48250,0.532036,1
48300,0.532522,1
48350,0.535248,1
48400,0.544721,1
48450,0.551038,1
48500,0.54507,1
48550,0.543384,1
48600,0.546645,1
48650,0.547331,1
48700,0.538688,1
48750,0.537499,1
48800,0.541348,1
48850,0.542736,1
48900,0.535599,1
48950,0.530057,1
49000,0.538593,1
49050,0.542274,1
49100,0.532598,1
49150,0.526507,1
49200,0.529711,1
49250,0.526025,1
49300,0.516231,1
49350,0.512402,1
49400,0.516737,1
49450,0.512525,1
49500,0.505506,1
49550,0.508155,1
49600,0.523575,1
49650,0.526252,1
49700,0.513617,1
49750,0.512766,1
49800,0.518516,1
49850,0.518946,1
49900,0.507638,1
49950,0.501293,1
50000,0.501933,1
50050,0.503051,1
50100,0.496376,1
50150,0.495762,1
50200,0.494736,1
50250,0.496479,1
50300,0.492626,1
50350,0.506108,1
50400,0.520409,1
50450,0.522235,1
50500,0.514216,1
50550,0.509495,1
50600,0.517319,1
50650,0.524665,1
50700,0.528999,1
50750,0.525889,1
50800,0.537583,1
50850,0.545882,1
50900,0.551741,1
50950,0.550401,1
51000,0.550209,1
51050,0.556129,1
51100,0.554441,1
51150,0.544272,1
51200,0.551509,1
51250,0.554531,1
51300,0.55885,1
51350,0.55101,1
51400,0.549115,1
51450,0.555087,1
51500,0.556783,1
51550,0.550521,1
51600,0.543717,1
51650,0.544087,1
51700,0.545656,1
51750,0.540963,1
51800,0.532739,1
51850,0.53264,1
51900,0.534105,1
51950,0.531,1
52000,0.525628,1
52050,0.526313,1
52100,0.530252,1
52150,0.531199,1
52200,0.528092,1
52250,0.529719,1
52300,0.534425,1
52350,0.532908,1
52400,0.528395,1
52450,0.523958,1
52500,0.527003,1
52550,0.528494,1
52600,0.526505,1
52650,0.524489,1
52700,0.529764,1
52750,0.537563,1
52800,0.533203,1
52850,0.534338,1
52900,0.548464,1
52950,0.543318,1
53000,0.539608,1
53050,0.551583,1
53100,0.557026,1
53150,0.566196,1
53200,0.575532,1
53250,0.576432,1
53300,0.571142,1
53350,0.574376,1
53400,0.576224,1
53450,0.570883,1
53500,0.570077,1
53550,0.571383,1
53600,0.566461,1
53650,0.566257,1
53700,0.571625,1
53750,0.568431,1
53800,0.562375,1
53850,0.562712,1
53900,0.559646,1
53950,0.551992,1
54000,0.552704,1
54050,0.551977,1
54100,0.545653,1
54150,0.550062,1
54200,0.56083,1
54250,0.560998,1
54300,0.558393,1
54350,0.56074,1
54400,0.558416,1
54450,0.552852,1
54500,0.554217,1
54550,0.55262,1
54600,0.545234,1
54650,0.541324,1
54700,0.542521,1
54750,0.534601,1
54800,0.527954,1
54850,0.527768,1
54900,0.522906,1
54950,0.520671,1
55000,0.522417,1
55050,0.526146,1
55100,0.529034,1
55150,0.530221,1
55200,0.541058,1
55250,0.536993,1
55300,0.53086,1
55350,0.529036,1
55400,0.530795,1
55450,0.52461,1
55500,0.519024,1
55550,0.524452,1
55600,0.530261,1
55650,0.520558,1
55700,0.519535,1
55750,0.520727,1
55800,0.52917,1
55850,0.52712,1
55900,0.523144,1
55950,0.529403,1
56000,0.534551,1
56050,0.530496,1
56100,0.527606,1
56150,0.530482,1
56200,0.530184,1
56250,0.522062,1
56300,0.518641,1
56350,0.519876,1
56400,0.518689,1
56450,0.512042,1
56500,0.512737,1
56550,0.523842,1
56600,0.527247,1
56650,0.518675,1
56700,0.519943,1
56750,0.520924,1
